candidate_no,presidential_candidate,party_initials,full_party_name,votes
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,145584
2,John Dramani Mahama,NDC,National Democratic Congress,116485
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,1493
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,194
5,Akua Donkor,GFP,Ghana Freedom Party,49
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,51
7,Hassan Ayariga,APC,All People's Party,150
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,113
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,82
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,52
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,135
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,103
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,613804
2,John Dramani Mahama,NDC,National Democratic Congress,538829
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,15160
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,1117
5,Akua Donkor,GFP,Ghana Freedom Party,478
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,361
7,Hassan Ayariga,APC,All People's Party,468
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,586
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,323
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,1042
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,467
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,804
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,122742
2,John Dramani Mahama,NDC,National Democratic Congress,112306
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,952
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,292
5,Akua Donkor,GFP,Ghana Freedom Party,324
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,198
7,Hassan Ayariga,APC,All People's Party,376
